"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-01",,"46","28"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-02",,"49","22"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-03",,"48","20"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-04",,"48","23"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-05",,"42","29"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-06",,"44","35"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-07",,"44","37"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-08",,"47","42"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-09",,"47","35"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-10",,"38","32"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-11",,"41","26"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-12",,"35","23"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-13",,"32","21"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-14",,"40","18"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-15",,"44","21"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-16",,"31","22"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-17",,"35","25"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-18",,"43","22"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-19",,"49","21"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-20",,"49","19"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-21",,"50","19"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-22",,"45","21"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-23",,"59","33"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-24",,"54","43"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-25",,"50","44"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-26",,"48","35"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-27",,"46","34"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-28",,"45","35"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-29",,"48","37"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-30",,"43","36"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-01-31",,"42","39"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-01",,"46","31"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-02",,"43","32"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-03",,"40","32"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-04",,"45","33"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-05",,"48","32"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-06",,"54","33"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-07",,"48","34"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-08",,"48","32"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-09",,"49","28"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-10",,"54","27"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-11",,"44","27"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-12",,"54","34"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-13",,"59","33"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-14",,"60","36"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-15",,"69","29"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-16",,"63","30"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-17",,"54","29"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-18",,"48","28"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-19",,"46","33"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-20",,"50","34"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-21",,"47","34"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-22",,"50","34"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-23",,"46","30"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-24",,"53","25"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-25",,"51","32"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-26",,"54","27"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-27",,"56","28"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-02-28",,"55","45"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-01",,"65","44"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-02",,"55","39"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-03",,"59","35"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-04",,"64","29"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-05",,"53","36"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-06",,"51","37"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-07",,"56","29"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-08",,"57","26"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-09",,"62","27"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-10",,"66","29"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-11",,"69","33"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-12",,"69","35"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-13",,"69","39"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-14",,"67","42"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-15",,"69","39"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-16",,"58","41"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-17",,"55","36"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-18",,"61","28"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-19",,"60","43"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-20",,"59","40"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-21",,"52","36"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-22",,"50","31"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-23",,"59","25"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-24",,"64","30"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-25",,"63","37"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-26",,"62","45"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-27",,"64","44"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-28",,"64","50"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-29",,"75","46"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-30",,"80","42"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-03-31",,"59","52"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-04-01","54","60","50"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-04-02","56","69","49"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-04-03","55","69","43"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-04-04","61","66","51"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-04-05","54","60","48"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-04-06","53","60","48"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-04-07","51","55","40"
"USW00024225","MEDFORD INTERNATIONAL AIRPORT, OR US","2013-04-08","43","56","36"
