"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-01","33","18","18"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-02","25","13","23"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-03","28","14","28"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-04","30","22","26"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-05","31","17","28"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-06","35","28","31"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-07","35","29","30"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-08","35","22","31"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-09","46","27","42"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-10","42","25","36"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-11","57","34","51"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-12","59","43","54"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-13","54","35","35"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-14","35","22","24"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-15","30","13","27"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-16","38","19","35"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-17","37","27","27"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-18","33","16","32"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-19","47","32","45"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-20","45","16","18"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-21","18","9","9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-22","11","-3","8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-23","17","4","14"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-24","20","7","14"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-25","20","11","18"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-26","27","18","24"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-27","27","13","25"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-28","45","24","43"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-29","54","34","54"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-30","60","49","50"
"USC00200230","ANN ARBOR U OF MICH, MI US","2013-01-31","50","18","18"
